vol_requests,title,summary,category_desc,org_title,locality,recurrence_type,start_date_date,end_date_date,Latitude,Longitude,images
10,Writing Tutor,Help middle school students improve their writing skills.,Education,"""I Have a Dream"" Foundation - NY: Ravenswood Program","1401 36th Ave
  Astoria, NY 11106",ongoing,January 24 2011,May 24 2011,40.76021,-73.9375,1.jpg
10,Mentor,"When you make the commitment to become a mentor, you are making the decision to have a real impact on a young person's life. Staff will guide you through recreation, enrichment, and academic activities through which you can share your skills, interests, and experiences with your mentee.",Education,"""I Have a Dream"" Foundation - NY: Ravenswood Program","1401 36th Ave
  Queens, NY 11106",ongoing,July 8 2011,July 7 2012,40.76021,-73.9375,2.jpg
5,Leadership Counselor for High School Youth,"Tutor and Mentor with YALLA (Young Arabs, Learning, Leading, Advancing), the high school youth program at the Arab American Association of New York.",Education,Arab American Association Of New York,"7111 5th
  Brooklyn, NY 11209",ongoing,February 8 2011,February 8 2012,40.63245,-74.0214,3.jpg
1,Dance/Drama Instructor,"We are seeking an instructor for our youth dance/drama workshop. Mon and Wed 3p-5p. The students will be conducting a production of ""The Wiz"". Instructor will be responsible for creating all lesson plans and reports. ARTs East New York Inc. artseastny.com",Education,ARTs East New York Inc.,"851 Hegeman Ave
  Brooklyn, NY 11207",ongoing,July 10 2011,August 24 2011,40.66457,-73.8809,4.jpg
15,Teach Adults and Kids how to Ride Bikes!,"Become a volunteer with Bike New York, a non-profit Bicycling organization, and give someone the life changing skill of knowing how to ride a bike!",Education,Bike New York,"475 Riverside Drive
  NYC, NY 10115",ongoing,June 16 2011,June 15 2012,40.8111,-73.9642,5.jpg
10,Teach Adults and Kids how to Ride Bikes!,"Change a community! Give the gift of self confidence, independence, health, and a smaller carbon footprint! Volunteer for Bike New York!",Education,Bike New York,"475 Riverside Drive
  New York City, NY 10115",ongoing,June 30 2011,October 15 2011,40.8111,-73.9642,6.jpg
5,Give the Gift of Bicycling!,Become a Bike New York volunteer and teach adults and kids how to ride bicycles!,Education,Bike New York,"475 Riverside Drive
  New York City, NY 10115",ongoing,June 9 2011,October 1 2011,40.8111,-73.9642,7.jpg
5,Education Nonprofit Seeks Recruitment Volunteers,"Blue Engine recruits, selects, trains, and supports recent college graduates who dedicate one year of service to accelerate academic achievement in high-need public high schools. Since we are still in the early stages of growth, we need driven people to help us get the word out about Blue Engine.",Education,Blue Engine,"150 Court
  Brooklyn, NY 11201",ongoing,January 11 2011,June 30 2011,40.68881,-73.9928,8.jpg
12,Become a Tutor for Boys Hope Girls Hope New York!,"Tutors are the backbone of our academic enrichment program, we are currently looking for tutors for many subjects (math, science, English, history, language, SAT Prep, religion).",Education,Boys Hope Girls Hope New York,"Flatbush Brooklyn, NY 11238",ongoing,September 29 2011,May 1 2012,40.67213,-73.9688,9.jpg
25,Bronx One on One Mentoring Program (BOOM),Bronx One on One Mentoring (BOOM) seeks to make a difference in the life of a child by providing amazing mentors who can serve as positive role models and guides in their lives.,Education,Bronx One on One Mentoring Program,"20 190th Street
  Bronx, NY 10468",ongoing,April 12 2011,July 11 2012,40.86348,-73.8996,10.jpg
10,Stipend After School Program Mentor Opportunity,"Help a child in need! We need mentors to help fraught Bushwick and Bedford - Stuyvesant students ages 5 -13 attain educational achievement. We also offer $125.00 - $250.00 to any volunteer who volunteers for a full month, Monday through Friday for at least 3 hours a day.",Education,Children's Choice Family Services,"1009 Broadway
  Brooklyn, NY 11221",ongoing,September 12 2011,June 30 2012,40.69589,-73.9333,11.jpg
20,Calling all Citizens: Improve Student Achievement in NYC by Teaching your Passion!,Share What YOU Know and Love: Become a Citizen Teacher!,Education,Citizen Schools,"55 Exchange Place
  Manhattan, NY 10005",ongoing,October 3 2011,June 20 2012,40.70619,-74.0109,12.jpg
5,Undergraduate and Graduate Students Fall/Spring Interns wanted to work with Class Wish,We are recruiting outstanding undergraduate and graduate students as interns for the 2011-2012 school year to collaborate on the boldest nonprofit initiative we know.,Education,ClassWish,"401 Seventh Avenue
  New York, NY 10001",ongoing,August 29 2011,June 28 2012,40.74979,-73.9915,13.jpg
10,Fall Internship for High Schools Students at ClassWish.org,"ClassWish is a nonprofit organization that empowers parents, educators, and local communities to make a positive change in their children's lives by providing them with the supplies they need to learn, grow and excel.",Education,ClassWish,"401 Seventh Avenue
  New York, NY 10001",ongoing,September 19 2011,December 16 2012,40.74979,-73.9915,14.jpg
10,Class Wish Internship,Year round or summer internship in NYC or virtually,Education,ClassWish,"401 7th avenue
  New York, NY 10001",ongoing,June 27 2011,June 26 2012,40.74979,-73.9915,15.jpg
10,Do you want to make a Difference? Volunteer at ClassWish.org!,Recruiting outstanding volunteers to collaborate on the boldest nonprofit initiative we know. We are looking for passionate volunteers with exceptional skills to take initiative on different projects. This is an outstanding leadership opportunity in an innovative start-up nonprofit organization,Education,ClassWish,"401 7th avenue
  New York, NY 10001",ongoing,June 1 2011,August 26 2012,40.74979,-73.9915,16.jpg
150,Join the 2011/2012 Penny Harvest Leader Pin Volunteer Day!,"Be a part of the 2011/2012 Penny Harvest! Join us and hundreds of amazing volunteers to make Penny Harvest Leader Pin. The pins -- made out of pennies -- will be given to 30,000 Penny Harvest Leaders across the country and will inspire the 2011/2012 Penny Harvest campaign.",Education,Common Cents New York,"570 Columbus Avenue
  New York, NY 10024",onetime,August 6 2011,August 6 2011,40.78756,-73.9714,17.jpg
30,Help A Middle School Student Learn A New Skill --55+ Only,"At Citizen Schools, middle school students work side-by-side with experts like you to explore new fields, learn new skills, and create something real for their community.",Education,Community Service Society/Retired & Senior Volunteer Program (RSVP),"105 22nd Street
  New York, NY 10010",ongoing,April 25 2011,December 31 2012,40.73943,-73.9866,18.jpg
20,Be a Proctor for Students Taking Exams - 55+ Only,This volunteer opportunity is great for people who are interested in volunteering in a university environment with graduate and undergraduate college students.,Education,Community Service Society/Retired & Senior Volunteer Program (RSVP),"105 22nd Street
  New York, NY 10010",ongoing,February 4 2011,July 4 2011,40.73943,-73.9866,19.jpg
6,Be a Mentor and Make That Extraordinary Difference - 55+ Only,"The program seeks to match young adults, age 18 to 24 who have aged out of the foster care system, with professional mentors.",Education,Community Service Society/Retired & Senior Volunteer Program (RSVP),"105 22 Street
  New York, NY 10010",ongoing,August 1 2011,July 31 2012,40.73943,-73.9866,20.jpg
20,Tutor Youth in Harlem --55+ Only,Tutors needed in after school programs for high school and junior high school students in Harlem.,Education,Community Service Society/Retired & Senior Volunteer Program (RSVP),"105 22nd Street
  New York, NY 10010",ongoing,January 25 2011,March 12 2012,40.73943,-73.9866,21.jpg
20,Help Transform Lives and Strengthen Communities - Become a Mentor - 55+ Only,An RSVP mentor can make a difference in a childâ€™s life and yours.,Education,Community Service Society/Retired & Senior Volunteer Program (RSVP),"105 22 Street
  New York, NY 10010",ongoing,August 24 2011,August 23 2012,40.73943,-73.9866,22.jpg
6,Make a difference in a young person's life: Become a Middle School Mentor Today!,"Work in a supported mentoring program with middle school students in Brooklyn, 3 days per week during the school day. Individuals interested in a career in teaching are encouraged to apply.",Education,Counseling in Schools,"65 95th Street
  New York, NY 10025",ongoing,March 1 2011,June 30 2011,40.79191,-73.9674,23.jpg
70,"Volunteer Tutors, College Mentors, and Reading Partners!!","East Harlem Tutorial Program is looking for volunteer tutors, reading partners for elementary school kids, and college mentors for our graduating seniors!!",Education,East Harlem Tutorial Program,"2050 Second Avenue
  New York, NY 10029",ongoing,October 01 2011,June 15 2012,40.79026,-73.9427,24.jpg
15,Homework Helpers and Tutors for Kids Grades K-1!!,East Harlem Scholars Academy is looking for homework helpers and tutors for our brilliant kindergarten and first grade students!,Education,East Harlem Tutorial Program,"2050 Second Avenue
  New York, NY 10029",ongoing,September 07 2011,June 27 2012,40.79026,-73.9427,25.jpg
4,Classroom Assistants,Assist teachers in an Early Head Start program.,Education,Episcopal Social Services NYC,"305 Seventh Avenue
  New York, NY 10001",ongoing,September 6 2011,August 1 2012,40.74682,-73.9937,26.jpg
20,Tutor Students with FC Harlem,Volunteers will be responsible for helping the student-athletes complete their homework assignments and study for upcoming exams.,Education,FC Harlem,"441 Manhattan Ave
  New York, NY 10026",ongoing,April 1 2011,July 27 2011,40.80665,-73.9556,27.jpg
50,College Mentor,Work in a classroom to help lead low-income secondary students develop plans to enact change within their communities.,Education,Generation Citizen,"45 21st St
  New York, NY 10010",ongoing,August 16 2011,September 16 2011,40.74124,-73.9929,28.jpg
2,Girl Scout Series - Harlem,"We are New York Cityâ€™s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world a better place.",Education,Girl Scouts NYC,"509 129th St
  Harlem, NY 10027",ongoing,September 19 2011,December 12 2011,40.81521,-73.9551,29.jpg
2,Girl Scout Series - East Harlem Site 2,"We are New York Cityâ€™s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world a better place.",Education,Girl Scouts NYC,"160 120th St
  Harlem, NY 10035",ongoing,September 19 2011,December 12 2011,40.80086,-73.9391,30.jpg
1,Fashion Workshop Volunteer,Girls Inc. seeks a volunteer to support a fashion workshop for high school girls at The Urban Assembly Institute of Math and Science for Young Women in Downtown Brooklyn.,Education,Girls Incorporated Of New York City,"283 Adams Street
  Brooklyn, NY 11201",ongoing,February 7 2011,May 08 2011,40.69468,-73.9889,31.jpg
10,Summer Workshop Volunteer,"Girls Inc. of NYC seeks Summer Workshop Volunteers to support the Girls Inc. program facilitators. Volunteers will support individual girls and small groups, while the girls explore various topics including Art, Theatre, Economic Literacy and Career Skill Building.",Education,Girls Incorporated Of New York City,"283 Adams Street
  Brooklyn, NY 11201",ongoing,June 5 2011,June 7 2011,40.69468,-73.9889,32.jpg
